"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE 
 (₹ Crores)"," 
","CREDIT RATING 
","MATURITY DATE 
"
"94SFL28","YL","Regular","9.40","1,000.00","1,089.01","0.09","355","0.04",,"CRISIL AA+ STABLE /  IND AA+ STABLE","12-Jul-2028"
"880IREDA34","N6","Regular","8.80","1,000.00","1,245.00","0.45","304","0.04",,"CARE AAA (SO) / BWR AAA (SO) STABLE","13-Mar-2034"
"866IIFC34B","N3","Regular","-","-","1,240.10","-","300","0.04",,,"22-Jan-2034"
"769NHAI31","NE","Regular","7.69","1,000.00","1,138.50","0.13","300","0.03",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","09-Mar-2031"
"840IRFC29","N8","Regular","8.40","1,000.00","1,095.80","0.62","300","0.03",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","18-Feb-2029"
"930SFL28","YP","Regular","9.30","1,000.00","1,050.00","-0.90","310","0.03",,"CRISIL AA+ STABLE /  IND AA+ STABLE","02-Nov-2028"
"886REC34","NG","Regular","8.86","1,000.00","1,296.00","2.86","250","0.03",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA ","24-Mar-2034"
"850IIFL27","NA","Regular","8.50","1,000.00","985.00","1.55","330","0.03",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2027"
"829PFL29","N6","Regular","10.27","1,000.00","1,058.19","0.97","300","0.03",,"BWR AA STABLE / ACUITE AA STABLE","06-May-2029"
"82IGT31","NJ","Regular","8.20","1,000.00","1,085.50","-0.32","275","0.03",,"IND AAA Stable / CRISIL AAA Stable","06-May-2031"
"842IIFL26","NL","Regular","8.42","1,000.00","969.00","0.62","300","0.03",,"CRISIL AA Stable/ BWR AA+ Negative","14-Oct-2026"
"AEL120924B","N8","Regular","-","1,000.00","1,035.22","1.00","274","0.03",,"CARE A+","12-Sep-2029"
"10IIFL28A","NE","Regular","10.00","1,000.00","979.99","1.55","284","0.03",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"865LTF26","NN",,"-","-","1,035.51","-0.14","255","0.03",,,"-"
"903SFL28","YI","Regular","9.03","1,000.00","1,036.00","-0.02","256","0.03",,"CRISIL AA+ STABLE /  IND AA+ STABLE","12-Jul-2028"
"79NHIT40","N2","Regular","7.90","300.00","308.00","0.49","853","0.03",,"CARE AAA Stable / IND AAA/Stable","14-Nov-2040"
"865IIFL28","NS","Regular","8.65","1,000.00","955.00","-","270","0.03",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"769HUDCO31","N9","Regular","-","-","1,116.80","0.05","204","0.02",,,"15-Mar-2031"
"891NTPC33","N6","Regular","8.91","1,000.00","1,255.00","-0.24","180","0.02",,"CRISIL AAA / ICRA AAA STABLE","16-Dec-2033"
"0SCL27","YW",,"-","-","1,050.00","0.71","200","0.02",,,"-"
"820IIFL27","N9","Regular","8.20","1,000.00","960.30","-","200","0.02",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2027"
"9IIFL28A","NT","Regular","9.00","1,000.00","-","-","200","0.02",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"885IHL26","N1","Regular","8.85","1,000.00","987.50","0.25","185","0.02",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2026"
"99AEL29","N7","Regular","9.90","1,000.00","1,079.00","0.84","163","0.02",,"CARE A+","12-Sep-2029"
"10NFL25","N9","Regular","10.00","1,000.00","998.00","0.30","170","0.02",,"CRISIL A/Stable","13-Sep-2025"
"830NHAI27","N2","Regular","8.30","1,000.00","1,086.52","-0.20","152","0.02",,"CRISIL AAA STABLE / CARE AAA / IND AAA STABLE ","25-Jan-2027"
"105IIFL29","N7","Regular","10.50","1,000.00","1,085.00","19.89","150","0.02",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","07-Feb-2029"
"985IIFL22","NC","Regular","10.00","1,000.00","997.00","0.20","160","0.02",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","06-Jun-2025"
"920PEL28","N2","Regular","9.20","1,000.00","1,035.00","-","149","0.02",,"AA/Stable, AA/Stable","03-Nov-2028"
"764HUDCO31","N8","Regular","-","-","1,106.05","-0.09","137","0.02",,,"08-Feb-2031"
"9MMFSML","N2",,"-","-","1,080.00","0.08","140","0.02",,,"-"
"97SFL29","YZ","Regular","9.70","1,000.00","1,061.01","1.05","142","0.01",,"CRISIL AA+ STABLE /  IND AA+ STABLE","06-Feb-2029"
"97SFL28","YS","Regular","9.70","1,000.00","1,090.00","2.44","128","0.01",,"CRISIL AA+ STABLE /  IND AA+ STABLE","02-Nov-2028"
"1040NFL26","NA","Regular","10.40","1,000.00","990.00","0.10","140","0.01",,"CRISIL A/Stable","13-Jun-2026"
"935LTF29","N5","Regular","9.35","1,000.00","1,070.00","0.47","130","0.01",,"FITCH AA+","13-Mar-2029"
"840CIFCL28","N4","Regular","8.40","1,000.00","1,019.90","-5.04","132","0.01",,"ICRA AA+","04-May-2028"
"740IIFCL33","N1","Regular","-","-","1,145.10","-19.98","102","0.01",,,"22-Jan-2033"
"880IREDA29","N5","Regular","8.80","1,000.00","1,116.00","1.00","102","0.01",,"CARE AAA (SO) / BWR AAA (SO) STABLE","13-Mar-2029"
"739NHAI26","N8","Regular","7.39","1,000.00","1,015.40","0.34","112","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2026"
"910TCAP28","NA",,"-","-","1,080.25","-0.34","105","0.01",,,"-"
"1030SFIL28","NM",,"-","-","694.99","13.93","190","0.01",,,"-"
"865IRFC29","NA","Regular","8.65","1,000.00","1,095.08","-1.17","100","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","18-Feb-2029"
"81TCHF28","N8","Regular","8.10","1,000.00","1,020.00","0.10","102","0.01",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"9PEL25","N0","Regular","9.00","1,000.00","1,037.50","1.59","100","0.01",,"AA/Stable, AA/Stable","03-Nov-2025"
"960ISFL25","N1","Regular","9.60","1,000.00","1,017.80","0.30","99","0.01",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2025"
"915SCL26","NE",,"-","-","1,024.00","0.89","99","0.01",,,"-"
"921ISFL25","N0",,"-","-","993.80","1.41","100","0.01",,,"-"
"1015ECL29","NR","Regular","10.15","1,000.00","995.00","-0.10","98","0.01",,"CRISIL AA STABLE / ICRA AA","04-Jan-2029"
"729NHAI26","NC","Regular","7.29","1,000.00","1,048.15","0.09","92","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","09-Mar-2026"
"1025UCL25","N8","Regular","10.25","1,000.00","995.00","2.05","90","0.01",,"FITCH A/Stable","27-Aug-2025"
"CAGL25","N8","Regular","-","1,000.00","1,148.80","0.95","74","0.01",,"AA-/Stable","07-Sep-2025"
"835IFL25","NV","Regular","8.35","1,000.00","1,060.60","0.17","76","0.01",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2025"
"79IGT28","NF","Regular","7.90","1,000.00","1,053.20","-","70","0.01",,"IND AAA Stable / CRISIL AAA Stable","06-May-2028"
"888ERFL28","N5","Regular","8.88","1,000.00","948.00","-1.03","68","0.01",,"CRISIL AA STABLE / ICRA AA STABLE","22-Mar-2028"
"96SFIL24A","NB",,"-","-","1,000.00","-","62","0.01",,,"-"
"875IIFL26","NM","Regular","8.75","1,000.00","1,020.00","0.68","60","0.01",,"CRISIL AA Stable/ BWR AA+ Negative","14-Oct-2026"
"750IRFC35","NK","Regular","7.50","1,000.00","1,190.00","-0.42","50","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2035"
"1003SFIL28","NX",,"-","-","748.70","-0.17","78","0.01",,,"-"
"732IRFC25","NI","Regular","7.32","1,000.00","1,043.00","-","50","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2025"
"79NHIT47","N3","Regular","7.90","400.00","414.88","-0.63","120","-",,"CARE AAA Stable / IND AAA/Stable","14-Nov-2047"
"737NTPC35C","NA","Regular","7.37","1,000.00","1,192.00","-14.86","40","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2035"
"965IHFL25D","N7","Regular","-","1,000.00","1,139.00","-","37","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","09-Jun-2025"
"890SFIL23A","NZ",,"-","-","850.00","4.94","47","-",,,"-"
"736PFCL28","N2","Regular","-","-","1,060.00","0.27","30","-",,,"04-Jan-2028"
"846REC28","N6","Regular","8.46","1,000.00","1,121.00","0.09","27","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2028"
"843IHFL29","NC","Regular","8.43","1,000.00","950.00","-","27","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"92SFIL28","ND",,"-","-","977.55","1.83","25","-",,,"-"
"875PCHFL26","N8","Regular","8.75","1,000.00","1,046.00","-1.32","22","-",,"CARE AA / ICRA AA ","23-Jul-2026"
"753IRFC30","NJ","Regular","7.53","1,000.00","1,120.05","-0.26","19","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2030"
"1050UCL25","N7","Regular","10.50","1,000.00","993.00","1.12","21","-",,"ACUITE A+ / CRISIL A-","26-Sep-2025"
"769IGT28","NH","Regular","7.69","1,000.00","1,000.00","-","20","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2028"
"1025UCL26A","N1","Regular","10.25","1,000.00","981.00","0.41","20","-",,"IND A+/ Stable","24-Oct-2026"
"1025SCL35A","N1",,"-","-","970.00","-3.00","20","-",,,"-"
"1030SFIL26","NJ",,"-","-","1,197.90","-2.34","16","-",,,"-"
"IMC1","N0",,"-","-","248.02","-1.77","67","-",,,"-"
"IIFLZC25","ND","Regular","-","1,000.00","1,745.38","0.89","9","-",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","06-Jun-2025"
"1015UCL26","N1","Regular","10.15","1,000.00","987.00","-","15","-",,"IND A+/ Stable","24-Apr-2026"
"IIFLZC28","NG","Regular","-","1,000.00","1,380.00","-0.72","10","-",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"IIFLZC26","NN","Regular","-","1,000.00","1,319.99","0.69","10","-",,"CRISIL AA Stable/ BWR AA+ Negative","14-Oct-2026"
"898LTF29","N7","Regular","8.98","1,000.00","1,070.00","-","10","-",,"FITCH AA+","13-Mar-2029"
"IMC1","N2",,"-","-","252.50","0.20","42","-",,,"-"
"889SCL26","NS",,"-","-","1,017.55","1.86","10","-",,,"-"
"970CAGL28","ND","Regular","9.70","1,000.00","1,016.90","0.35","10","-",,"AA-/Stable","07-Sep-2028"
"10IIFL28","N4","Regular","10.00","1,000.00","1,011.80","-1.28","10","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"1025SCL34B","N1","Regular","10.25","1,000.00","1,010.00","4.12","10","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2034"
"9IIFL28","Y0","Regular","9.00","1,000.00","1,003.21","0.29","10","-",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2028"
"925IHFL29","N1","Regular","9.25","1,000.00","980.00","4.17","10","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2029"
"957NIDO26","N5","Regular","9.57","1,000.00","979.00","1.87","10","-",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"965SCL27","N1",,"-","-","960.00","-","10","-",,,"-"
"1075UCL25","N9","Regular","10.75","1,000.00","1,000.41","-","9","-",,"FITCH A/Stable","27-Aug-2025"
"IMC1","N3",,"-","-","256.00","-","34","-",,,"-"
"830PFCL27","N5","Regular","-","-","1,085.05","-0.45","5","-",,,"01-Feb-2027"
"IMC1","N1",,"-","-","252.00","-","21","-",,,"-"
"719HUDCO28","N7","Regular","7.19","1,000.00","1,041.00","0.19","4","-",,"CARE AA+ / IND AA+","28-Mar-2028"
"990SCL27","YT",,"-","-","-","-","4","-",,,"-"
"965SCL25C","N0",,"-","-","651.00","-","6","-",,,"-"
"888SCL25E","N4",,"-","-","999.90","11.10","2","-",,,"-"
"980SCL33","NX",,"-","-","911.00","-3.08","2","-",,,"-"
"1035UCL26","NA","Regular","10.35","1,000.00","730.00","-","2","-",,"FITCH A/Stable","27-Feb-2026"
"866NTPC33","N3","Regular","8.66","1,000.00","1,230.51","-12.11","1","-",,"CRISIL AAA / ICRA AAA STABLE","16-Dec-2033"
"84TCHF28","NA","Regular","8.40","1,000.00","1,043.00","0.77","1","-",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"888IHFL25F","NC","Regular","8.40","1,000.00","1,000.01","-0.56","1","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2025"
"925SCL27B","N1",,"-","-","1,000.00","-","1","-",,,"-"
"943ECL28","NJ","Regular","9.43","1,000.00","970.00","0.51","1","-",,"CRISIL AA STABLE / ICRA AA STABLE","06-Aug-2028"
"925SCL26F","N1","Regular","9.25","1,000.00","950.00","-1.04","1","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2026"
"875SCL23A","YI",,"-","-","940.00","0.74","1","-",,,"-"
"10ISFL26","N3","Regular","10.00","1,000.00","1,005.00","-","-","-",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2026"
"10NIDO26","N6","Regular","10.00","1,000.00","1,045.00","-","-","-",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"9PCHFL31A","NA","Regular","9.00","1,000.00","1,063.00","-","-","-",,"CARE AA / ICRA AA ","23-Jul-2031"
"11UCL26","NC","Regular","11.00","1,000.00","1,000.35","-","-","-",,"FITCH A/Stable","27-May-2026"
"76IGT26","ND","Regular","7.60","1,000.00","1,063.00","-","-","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2026"
"873NTPC28","N5","Regular","8.73","1,000.00","1,120.00","-","-","-",,"CRISIL AAA / ICRA AAA STABLE","16-Dec-2028"
"862REC33","NA","Regular","8.62","1,000.00","1,240.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2033"
"935PEL33","N3","Regular","9.35","1,000.00","1,099.00","-","-","-",,"AA/Stable, AA/Stable","03-Nov-2033"
"CAGL27A","N6","Regular","-","1,000.00","1,275.32","-","-","-",,"IRR AA-/Stable","23-Nov-2027"
"975SCL28","NT",,"-","-","971.00","-","-","-",,,"-"
"0SCL26","YR",,"-","-","1,057.20","-","-","-",,,"-"
"956AEL29","N6","Regular","9.56","1,000.00","1,055.00","-","-","-",,"CARE A+","12-Sep-2029"
"CIFCZC28A","N5","Regular","-","1,000.00","1,130.00","-","-","-",,"ICRA AA+","04-May-2028"
"CIFC26","NK","Regular","-","1,000.00","1,069.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","31-Jan-2026"
"11DLSL25A","Y3","Regular","11.00","1,000.00","1,096.55","-","-","-",,"IVR AA/Stable","16-May-2025"
"966SFIL25A","NI",,"-","-","982.59","-","-","-",,,"-"
"965SCL26Y","N1","Regular","9.65","1,000.00","910.20","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2026"
"925IHFL31","N1","Regular","9.25","1,000.00","980.00","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2031"
"SCLZC26G","YA",,"-","-","1,050.80","-","-","-",,,"-"
"948SCL27","YV",,"-","-","950.00","-","-","-",,,"-"
"815ANN29","N0",,"-","-","-","-","-","-",,,"-"
"SCLZC26A","NF",,"-","-","2,000.00","-","-","-",,,"-"
"IHF261224","N1","Regular","-","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2027"
"12VCCL27B","N0",,"-","-","1,00,400.00","-","-","-",,,"-"
"CAGL27","NC","Regular","-","1,000.00","1,058.00","-","-","-",,"AA-/Stable","07-Nov-2027"
"CIF29","NO","Regular","-","1,000.00","-","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","31-Jan-2029"
"8ABCL26","N2",,"-","-","-","-","-","-",,,"-"
"925SCL26Z","N1","Regular","9.25","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2026"
"925SCL26","NR",,"-","-","835.05","-","-","-",,,"-"
"888SCL25B","Y2",,"-","-","-","-","-","-",,,"-"
"815ANN31","N0",,"-","-","-","-","-","-",,,"-"
"940SCL26B","Y6",,"-","-","-","-","-","-",,,"-"
"IIFLHF29","NE","Regular","-","1,000.00","1,200.00","-","-","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"850NHAI29","N5","Regular","8.50","1,000.00","1,129.99","-","-","-",,"CRISIL AAA STABLE / CARE AAA / BWR AAA STABLE ","05-Feb-2029"
"875IIFL26A","NQ","Regular","8.75","1,000.00","986.25","-","-","-",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2026"
"905PEL26","N1","Regular","9.05","1,000.00","1,034.00","-","-","-",,"AA/Stable, AA/Stable","03-Nov-2026"
"957ICCL25","YW","Regular","9.30","1,000.00","1,048.00","-","-","-",,"CRISIL AA+ STABLE /  IND AA+ STABLE","06-Feb-2029"
"985ECL28","NK","Regular","9.85","1,000.00","1,020.00","0.44","-","-",,"CRISIL AA STABLE / ICRA AA STABLE","06-Aug-2028"
"IIFLZC25B","NW","Regular","-","1,000.00","1,136.65","-","-","-",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2025"
"SCLZC26","NB",,"-","-","2,010.00","-","-","-",,,"-"
"925SCFL27","YA",,"-","-","990.65","-","-","-",,,"-"
"CIFC28","NB","Regular","-","1,000.00","1,120.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","09-Aug-2028"
"AEL120924A","N5","Regular","-","1,000.00","1,235.00","-","-","-",,"CARE A+","12-Sep-2027"
"707IRFC25","NF","Regular","7.07","1,000.00","1,030.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2025"
"948SCL26A","NN",,"-","-","670.00","-","-","-",,,"-"
"728NTPC30B","N9","Regular","7.28","1,000.00","1,096.00","-","-","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2030"
"10IIFLSF27","NB","Regular","10.00","1,000.00","1,099.00","-","-","-",,"CRISIL AA-/ACUITE AA ","21-Jun-2027"
"97MOFSL34","N7","Regular","9.70","1,000.00","1,113.95","-","-","-",,"CRISIL AA Stable / FITCH AA Stable","09-May-2034"
"IIFLZC26A","NR","Regular","-","1,000.00","1,171.00","-","-","-",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2026"
"735PFCL35","N1","Regular","-","-","1,186.00","-","-","-",,,"17-Oct-2035"
"965SCL25F","NZ",,"-","-","890.00","0.42","-","-",,,"-"
"CAGL26","NA","Regular","-","1,000.00","1,141.74","-","-","-",,"AA-/Stable","07-Jun-2026"
"9IHFL27","N1","Regular","9.00","1,000.00","994.83","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2027"
"985SFIL28","NO",,"-","-","670.00","-","-","-",,,"-"
"850SCL25A","NW",,"-","-","907.88","-","-","-",,,"-"
"843SCL27","YS",,"-","-","-","-","-","-",,,"-"
"801TCH28","N7","Regular","8.01","1,000.00","-","-","-","-",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"815ANN32","N0",,"-","-","-","-","-","-",,,"-"
"1050SCL30","NU",,"-","-","-","-","-","-",,,"-"
"971SCL29T","N1","Regular","9.71","1,000.00","950.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2029"
"940SCL27A","N1","Regular","9.40","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2027"
"85PCHFL26","N7","Regular","8.50","1,000.00","-","-","-","-",,"CARE AA / ICRA AA ","23-Jul-2026"
"902SCL27C","N1","Regular","9.02","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2027"
"850CIFCL26","NE","Regular","8.50","1,000.00","1,000.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2026"
"1049DLS25A","Y5","Regular","10.49","1,000.00","992.55","-","-","-",,"IVR AA/Stable","16-May-2025"
"885TCAPS29","NC",,"-","-","1,077.05","-","-","-",,,"-"
"925ERFL28","N6","Regular","9.25","1,000.00","950.00","-","-","-",,"CRISIL AA STABLE / ICRA AA STABLE","22-Mar-2028"
"738REC27TF","N2","Regular","7.38","1,000.00","1,064.25","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","19-Dec-2027"
"84CIFCL28","NA","Regular","8.40","1,000.00","1,034.00","0.88","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","09-Aug-2028"
"739NHAI31A","ND","Regular","7.39","1,000.00","1,150.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","09-Mar-2031"
"1075NFL25","N6","Regular","10.75","1,000.00","1,053.00","-","-","-",,"CRISIL A Stable","18-Oct-2025"
"704REC28","N4","Regular","7.04","1,000.00","1,053.50","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","25-Mar-2028"
"9SCL26BA","NA",,"-","-","1,021.00","0.05","-","-",,,"-"
"990SCL26","N7",,"-","-","715.00","-","-","-",,,"-"
"9TCAP28","N9",,"-","-","1,000.00","-","-","-",,,"-"
"1090NFL26","NB","Regular","10.90","1,000.00","1,020.00","-","-","-",,"CRISIL A/Stable","13-Jun-2026"
"1015SCL28","NR",,"-","-","918.00","-","-","-",,,"-"
"0MOFSL27","N3","Regular","-","1,000.00","1,068.00","-","-","-",,"CRISIL AA Stable / FITCH AA Stable","09-May-2027"
"CIFCZC28","NH","Regular","-","1,000.00","1,072.50","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2028"
"890NHB34","N7","Regular","8.90","5,000.00","6,180.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","24-Mar-2034"
"704IRFC26","NL","Regular","7.04","1,000.00","1,028.11","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2026"
"889SCL27","YT",,"-","-","950.00","-","-","-",,,"-"
"IIFLZC28B","Y1","Regular","-","1,000.00","1,055.00","-","-","-",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2028"
